authorId,authorProfile,author,dateCreated,text
100005061346201,https://www.facebook.com/DrEngAshrafTammam,Ashraf Tammam,2022-08-23T15:35:53.000Z,"‎فى أقل من ربع ساعة المشكلة والحل ... إزاى نقلل معدلات الطلاق ونرجع للأسرة المصرية إستقرارها:

‎لو عايزين نقلل الطلاق ونحافظ على الأسرة فدول أهم ٣ مواد لازم يتعدلوا فى قانون الأحوال الشخصية المصرى
https://youtu.be/_3fPfsCoBhU

‎حقيقة سن حضانة الأطفال المعمول به فى قانون الأحوال الشخصية المصرى
https://youtu.be/arPTlNSvdAA

‎مهزلة تخيير الطفل بعد إنتهاء سن الحضانة فى قانون الأحوال الشخصية المصرى
https://youtu.be/Tx1XcDV9L8s

‎ترتيب الحضانة فى قانون الأحوال الشخصية المصرى باب خلفى لبقاء حضانة الطفل مع الأم بعد زواجها
https://youtu.be/6-WtINmceFk"
100011094814336,https://www.facebook.com/people/Khoudiri-Moussa-Shah/100011094814336/,Khoudiri Moussa Shah,2022-10-27T19:39:36.000Z,"تفكير النسا.ء ليس بذلك الغموض، مع بعض التركيز و الممارسة يمكن للرجـ.ل فهمه. مشكلة الرجا.ل عموما انهم يُسقطون معايير تفكيرهم على تفكير النسا.ء لذلك تكون النتيجة فشلا ذريعا، تفكير الرجـ.ل: عقلاني، مطلق، ثابت، تفكير المر.اة عاطفي، نسبي، متغير.. عندما يتعلم الرجـ.ل ان يرى الامور من منظور ""انثـ.وي"" فسيفهم تفكير النسا.ء بسهولة (ليس المقصود ان تفكر كالنسا.ء انما ان تتعلم كيف تفكر النسا.ء).."
100074967066780,https://www.facebook.com/ramy.zain.501,محب العلوم,2022-08-06T01:14:19.000Z,"التثقيف وحده لا يكفي
يجب الدفاع عن الرجل و حقوقه في ظل انتشار القوانين الاي مع المرأة أكثر من الرحل
إذا طلق الرجل زوجته لماذا تأخذ المنزل من يد الرجل
القانون يهب المرأة البيت و دون ذكر المزايا الأخرى الاي يمنحها القانون للمرأة"
100002069204227,,غانم الماضي,2021-10-11T06:05:17.000Z,"فلسفة الحبة الحمراء فلسفة تدعم المنهج الأصل و الأساسي للطبيعة البشرية الفطرية للذكور و الاناث على حد سواء، فهي و إن كانت قد نشأت بسبب سطـوة المرأة و استبدادها إلا أنها أعطتهن كافة حقوقهن دون تبخيس و بعدالة كاملة.. و الأهم من ذلك إعادة الامور الى نصابها فأنت لا تصلحين للامتيازات التي أعطاها لك ""المنحـرفون"" و أقصد بالمنحـرفون أولئك الذين يديرون المجتمعات في الخفاء من أعطاهن الضوء الأخضر للتمرد و المناداة بالمساواة.. هي نفسها لم تكن تعلم ما فائدة مساواتي بالرجل؟! و إلى الآن الغبيّات التافـهات لا يعلمن!! فقط أريد ان اخرج من سلطة الاب و الزوج.. اريد العودة مثلهم للبيت في وقت متأخر.. أعمل و أكون عبدة مال.. اما الابناء فانا لست مجبورة بهم و لست خادمة لهم.. كل ما نجم عن ذلك من أفعال لا يُقارن بالفكر و النبت الخبيـث الذي تُشاركنا اياه ، من استغلالها للرجل عاطفياً و مادياً و اجتماعياً و منازعته في كل شيء!!
حتى أصبح كل عُهر و أخطاء و ذنوب المرأة و ماضيها و حاضرها القـذر يتم تبريره و خلق أعذاره و غفرانه اجتماعياً و قانونياً بينما يتم تضخيم خطأ الرجل أضعاف مضاعفة و إظهارها كصورة نمطية عنصـرية مشوّهة عن الرجال.. الأمر ألزم ثورة الريدبيل الذكورية و التي بدونها سيعيش الرجل مخدوعاً مغفّلاً بطهر و صفاء و نقاء المرأة و البقاء تحت رحمتها و رهن إشارتها ابتداءً من داخل أسرته مروراً بكل تفاصيل حياته.. فالبنية النّسويّة متغلغلة في عادات و تقاليد المجتمع من قبل ميلادك.. حتى التي لا تعلم شيئاً عن هذه الحركة العفـنة ستجدها تتبنى أفكارها باللاوعي و التكرار [الأفكار مغروسة في الإعلام كالنار في الهشيم].. حان دورك لتعيد بناء المجتمع من جديد"
100008133015253,,Yahya G,2022-09-02T13:46:39.000Z,أرجو الاختصار في الموضوع... لتجنب ملل القارئ ويتسنى لنا إعادة النشر
1311235706,https://www.facebook.com/ehab.alsamraee,Ehab Baha,2022-11-05T19:22:54.000Z,تعلم الأنثى جيدا أنها ضعيفة وأن ذكاءها وقوتها لن تكفي لإنجاز ما تريد ولكنها تثق بأن رجلا سيظهر ليدعمها وينقذها في آخر لحظة وهذا ما يمدها بالقوة والطاقة.
527033331,https://www.facebook.com/youssif.i.ali,Youssif Ibraheem Ali,2022-05-07T21:47:44.000Z,الاسلام هو الوحيد اللي أتعامل مع فسيولوجية المرأة بطريقة عادلة فشهادة المرأة نصف شهادة الرجل ولما قرأت السبب لقيته انهم عاطفيين بطريقة غريبة فإما يحبون بجنون أو يكرهون بجنون لا يوجد وسط في شهادتهم ...فسبحان من خلقهم علي تلك الصورة ...وايضا قال وليس الذكر كالأنثي..
100007439794099,https://www.facebook.com/people/%D8%AD%D9%85%D8%AF%D9%8A-%D8%A7%D9%84%D8%B7%D9%8A%D8%A8/100007439794099/,حمدي الطيب,2022-07-27T11:14:27.000Z,"وحدها التفاهة تُجني أرباحًا كثيرة هذه الأيام .

― فريدريك نيتشه."
638636205,,Mohamed M. Abdeen,2022-04-10T08:42:17.000Z,واضح ان انا فاتنى كتير فى معترك الحياة  ولازم اشوف الحوار ده من اوله كده
100071105927134,https://www.facebook.com/people/Loulou-Elhanon/100071105927134/,Loulou Elhanon,2022-05-21T15:25:28.000Z,ممكن تتكلم عن التحرر لدى النساء وهل يمكن ان تتحرر المراة تحررا كليا
100068146816116,https://www.facebook.com/RedPill8,Red Pill Arabic,2022-11-03T19:38:20.000Z,"Telegram:
https://t.me/TheMasculinity"
100082033669400,,Bar Lieon,2022-11-03T19:42:34.000Z,"المرأة لا تتحسن مع مرور الوقت بل تتـ.ـدهور.

جمالها يتدنى وتنتهي جاذبيتها بعد الثلاثين.
من ناحية المعاملات فسلوكها يتغير أيضا لأنها تكون قد ضمنتك وضمنت الاستفادة منك بعقد العبـ،ـودية (عقد الزواج) الذي أمضيت عليه.

لا تتوقع شيئا أفضل بعد الزواج (الذي وجد في الأصل من أجل المرأة لا الرجل)."
100028649137402,,Hamidouche Abdenour,2022-11-03T19:47:56.000Z,"طرحت فكرة عقد الزواج عند الموثق كي نتفق على شروط وقد تكون سندك في المستقبل لو كان هناك خروج عن الطاعة أو عن الشروط بصفة عامة ،انا أراها القوة الناعمة و الفكرة التي تبين خبث النوايا و القلوب من البداية 
ما رأيكم ؟؟"
100024015666445,https://www.facebook.com/nabil.herem.50,Nabil Herem,2022-11-03T20:48:23.000Z,صديقي الفاضل صاحب الصفحة أنت رجل شجاع في وقت كثر فيه الجبناء الخانعون كلامك مثل البارود إن إنفجر يؤذي العدو وإن لم يؤذي يُسمع له صوت مهيب يترك صدى، أتشرف دائما بالقراءة لك ودوما ما تخطه أناملك يثلج صدري ويجعلني أنتشي لأنو هناك من يحمل هذا الفكر النقي الطاهر وهذه الرؤية الفطرية الفاضلة المثالية للأمور ،أسعد وأسر دائما بتواجدي في ساحتك شكرا لك شكرا لك من كل اعماق قلبي لأنك تصدح بالحق اللذي بنو عليه أسوار الرذيلة والدياثة والشووووذووذ الف تحية من القلب لك صديقي
100060307062258,https://www.facebook.com/boulbenane.bellel,Bellel Boulbenane,2022-11-03T19:45:10.000Z,احسنت🌹
100014334780858,https://www.facebook.com/aymane.abdelfattah.9,Aymane Abdelfattah,2022-11-03T20:18:01.000Z,حقيقة إلى لقاتك راجل و الشخصية الرجولية  و ما تيشدوش فيك الألاعيب ديالها... ما تاتزيد العلاقة غير تزيان و تتبدا تعلق فيك و تبغيك تتولي أنت هو الآلفا ديالها....
817061488,,يحيى علي,2022-11-04T15:27:46.000Z,وكذلك الرجل
100042212466811,https://www.facebook.com/people/Seif-Bouko/100042212466811/,Seif Bouko,2022-11-03T20:22:21.000Z,يجب على الرجل ان لا يتنازل لانه هو الذي يدفع فيها تكاليف الزواج و اموال طائلة اذن لازم يختار الصغيرة و الجميلة و المطيعة
100011018735787,https://www.facebook.com/people/Firste-Why-Imac/100011018735787/,Firste Why Imac,2022-11-04T06:07:50.000Z,فعلا
100011018735787,https://www.facebook.com/people/Firste-Why-Imac/100011018735787/,Firste Why Imac,2022-11-04T06:07:57.000Z,صحيح
100068146816116,https://www.facebook.com/RedPill8,Red Pill Arabic,2022-11-08T19:35:38.000Z,"تعرف على ""أرملة الألفا"":

https://www.facebook.com/RedPill8/videos/526932615443805/"
100068146816116,https://www.facebook.com/RedPill8,Red Pill Arabic,2022-11-08T19:38:20.000Z,https://t.me/TheMasculinity
100077190204047,https://www.facebook.com/people/Mounir-Salama/100077190204047/,Mounir Salama,2022-11-08T19:51:23.000Z,"صدقت معظم من تزوجو 
بصاحبات الماضي الاسود 
تمت خيانتهم. في الاشهر الاولى."
100082033669400,,Bar Lieon,2022-11-08T19:43:01.000Z,"يمكنك التنبؤ بمستقبل المرأة من خلال فحص ماضيها.

  تذكر أن معظم النساء لا يتغيرن أبدًا؛  سوف تعتذر لكنها ستستمر في فعل الشيء نفسه."
100077607594896,,الصحبي بن سالم,2022-11-08T19:40:45.000Z,"كانت المرأة قديما يخطُبها مائة رجل و تبِيت في حضن رجل واحد (أي زوج واحد)، أمّا المرأة حديثا تبِيت في حضن مائة رجل و يخطبها (يتزوّجها) ""رجل"" واحد."
100064499496369,https://www.facebook.com/hassan.ayadi.5201,Hassan Ayadi,2022-11-08T19:34:36.000Z,"ممكن تألف كتاب اخ اسامة
اسهل واحسن"
100001884147031,https://www.facebook.com/abdulkader.sukkar.56,Abdulkader Sukkar,2022-11-10T22:44:43.000Z,                       Red Pill Arabic  مافي ارملة البيتا 😂😍
100051051372607,https://www.facebook.com/people/M%C3%A3-%C3%91-Kr%C3%AAy%C5%BE%C3%A8-Ni%C3%B1%C3%B8/100051051372607/,Mã Ñ Krêyžè Niñø,2022-11-09T00:26:27.000Z,ممكن تألف كتاب يااااا اخ اسامة👌❤
100077272503766,https://www.facebook.com/people/Abu-Ya-Hya-ll/100077272503766/,Abu Ya Hya-ll,2022-11-08T19:37:43.000Z,كن انتقائيًا بلا رحمة ♥️
100009343639524,https://www.facebook.com/people/Hosam-Atef/100009343639524/,Hosam Atef,2022-11-09T05:36:36.000Z,كلمات وحروف من ماء الذهب 💪
100068146816116,https://www.facebook.com/RedPill8,Red Pill Arabic,2022-11-05T18:06:19.000Z,"Telegram:
https://t.me/TheMasculinity"
100083029366796,https://www.facebook.com/Realmenzone,أنا رَجُلٌ سَويّ,2022-11-05T19:14:36.000Z,تعلم الأنثى جيدا أنها ضعيفة وأن ذكاءها وقوتها لن تكفي لإنجاز ما تريد ولكنها تثق بأن رجلا سيظهر ليدعمها وينقذها في آخر لحظة وهذا ما يمدها بالقوة والطاقة.
100004343832994,,Simo El Hannoune,2022-11-05T19:30:52.000Z,ليس هناك من يرغمك على تحمل طيشها و عدم مسؤوليتها
100010063453835,https://www.facebook.com/people/Mahmuod-Al-Slaymeh/100010063453835/,Mahmuod Al Slaymeh,2022-11-05T20:37:16.000Z,هي كائن اضعف من ان تتخذ قرار بشكل منفرد وتتحمل عواقبه وعليها قيس
100009506355839,,Ady Alshaif,2022-11-06T13:20:58.000Z,"لو تبا تفسير تطوري ... 
النساء غالبا يأخذن سبايا ... 
الانسان البدائي كان يغزو و القوي يهجم على  الضعيف ويقتله  ويسلب اناثه  بالذات الجميلات او التي اجسامهن ملائم للتزاوج !  
 وعلى مر الزمان اصبحت النساء محفور في جيناتهن وسلوكهن بانها تبع الاقوى ويظهر هذا في ميلهن للرجال ذوي العضلات المفتولة ... 
الان ربما اصبحت الحياة متغيرة شوي بسبب الاسلحة  فليست العضلات وحدها وانما المال والجاة ...الخ"
100068335814218,https://www.facebook.com/people/%D9%84%D9%86-%D8%A7%D8%B3%D8%AA%D8%B3%D9%84%D9%85/100068335814218/,لن استسلم,2022-11-08T21:43:31.000Z,كل تلك التصرفات او الأفكار النابعة من نساء تجعلني اكثر نفورا لهن
100004710460292,https://www.facebook.com/people/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%B2%D8%A7%D9%82-%D8%B9%D8%A7%D9%85%D8%B1-%D8%B0%D9%85%D8%B1%D8%A7%D9%86/100004710460292/,عبدالرزاق عامر ذمران,2022-11-05T19:58:06.000Z,عظيم انت
100011097456774,https://www.facebook.com/people/Beddiar-Abderrahmane/100011097456774/,Beddiar Abderrahmane,2022-11-05T18:10:20.000Z,في رأي أنا واظن دائما وأبدا لا تساعد المرأة على تطورها ولا تنقذها حقيقة لا يمكن انكارها لأن ما تقدمه أنت للمرأة ستنسها وستنكر ما فعلته لأجلها
620516644,,Nash Al Tujjar,2022-11-06T21:27:51.000Z,صحيح
100067852179052,https://www.facebook.com/amirouche.amirouche.1000,É Prin CE,2022-11-06T01:38:00.000Z,ما تقدمه أنت للمرأة ستنسها وستنكر ما فعلته لأجلها
100068146816116,https://www.facebook.com/RedPill8,Red Pill Arabic,2022-10-27T19:22:46.000Z,"المقارنة هنا ليست شاملة حول كل آثار الفعلين، بل بجزئية واحدة وهي (مطاردة إنجاز وهمي) أو (تصور غير واقعي عن العلاقات).
لذلك فلا أعقد مقارنة شاملة بين ألعاب الفيديو وبين المكياج أو بين الاباحية وبين الرومانسية بل أتحدث عن جزئية واحدة (الإنجاز الزائف) و(التصور غير الواقعي للعلاقات).

تابعوا قناة ""الذكورية' على تلجرام:
Telegram: @TheMasculinity"
100082033669400,,Bar Lieon,2022-10-27T19:24:38.000Z,رغبة تحقيق الإنجازات فطرة ذكورية تم توجيهها إلى أوهام وتحديات رقمية، بعد أن كانت تُمارس على أرض الواقع بما يعود بالنفع على الرجل وعلى المجتمع ككل.
100055519394208,https://www.facebook.com/mar.ide.1654,سف يان,2022-10-27T21:44:29.000Z,وكما قيل من يسيطر على العقول يقود الاجساد الى حيث يشاء والسيطرة الآن على العقول تتم عبر الأنترنت
100014443395075,https://www.facebook.com/people/Mohamed-Magdy/100014443395075/,Mohamed Magdy,2022-10-27T19:57:01.000Z,"العاب الفيديو للترفيه ، ما علاقتها بالإنجاز الزائف او المكياج 
بالعكس دي حاجة ممتعة تمارسها غالبا في بيتك يعني ليست مدعاة للتفاخر او التباهي امام الآخرين 
في النهاية مجرد لعب ترفيهي"
100041407981015,https://www.facebook.com/gamal.hemar,تقديس الاؤطان وثن,2022-10-27T20:09:52.000Z,رغم اني ثلاثيني واحلى هوايه عندي هو الالعاب الفيديو بس لا تستطيع أن أعارض كلامك كلامك صحيح للأسف الشديد
100065234070437,https://www.facebook.com/chachatnajah,شاشة النجاح,2022-10-28T15:13:32.000Z,"العصر الحديث تم إستحذات مجموعة من القيم الحياتية للأطفال كما للنساء والرجال إستهلاكية للسعادة....
هل هذه القيم طبيبعية !!!!؟؟؟ أم موجهة .
وكيف يُنضر لمحاولات زرع قيم المثلية بين الرجال وبين النساء هل هذا من الفطرة حتى نأخدها بعين الاعتبار"
100065617726460,https://www.facebook.com/itashi.ushiha.988,ITachï Uchihå,2022-10-27T19:32:01.000Z,الهوس بالالعاب يمكن يشمل الطرفين الرجل والمرأة كيف تقارنها مع المكياج والفلتر، وألعاب فيديو اين انجاز فيها هو هدفه فقط الترفيه واكيد له أضرار نفسية وصحية كأي اي شي لمجرد افراط فيه وتضييع الوقت، واذا كنت سأجلس ف قهوى وليس لي اي مصلحة او منفعة او مرهق بعد العمل فافضل ان اختلي بنفسي بالغرفة والعب العاب فيديو هههه
100000412493451,,Yousif Hamza,2022-10-27T21:13:39.000Z,العاب الفيديو الهاء عن الاهداف الكبيره في الحياه ضياع وقت لا اكثر  الحياة اقصر من تضييعها في هذه التفاهات
100044106702626,,Fateh Djouher,2022-10-27T20:39:01.000Z,العاب الفيديو ناس راهي تدخل منها دراهم !
100000391231551,,A Saeed,2022-10-28T01:50:20.000Z,اعجبتني المقارنه مابين الاثنين ؟ ابدعت !
100021131405199,https://www.facebook.com/nour.gui.39,Noureddine Guiraà,2022-11-09T19:55:25.000Z,وهذا ماحدث في الغرب تماما فالقادم اسوء واسود
100004710460292,https://www.facebook.com/people/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%B2%D8%A7%D9%82-%D8%B9%D8%A7%D9%85%D8%B1-%D8%B0%D9%85%D8%B1%D8%A7%D9%86/100004710460292/,عبدالرزاق عامر ذمران,2022-11-09T22:05:08.000Z,في الصميم
